actor,occurrence_count,rank,first_appearance,unique_dates
japanese american citizens league,42,26,2024-03,"['2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12']"
fossil free penn,41,27,2022-09,"['2022-09', '2022-10', '2023-02']"
kairos center,39,28,2022-05,"['2022-05', '2022-09', '2022-12', '2024-03', '2024-04', '2024-06']"
repairers of the breach,38,29,2022-05,"['2022-05', '2022-09', '2023-04', '2024-03', '2024-06']"
the live movement,37,30,2021-02,"['2021-02', '2021-10', '2021-11', '2021-12']"
drexel for justice,34,31,2023-02,"['2023-02', '2023-03']"
organizers,34,32,2021-04,"['2021-04', '2021-10', '2022-07', '2022-08', '2022-11', '2023-04']"
neighbors,32,33,2021-01,"['2021-01', '2021-03', '2021-04', '2021-05', '2021-06', '2021-12', '2022-01', '2022-02', '2022-04', '2022-06', '2022-08', '2023-02', '2023-03', '2023-04', '2023-05', '2023-07', '2023-08', '2023-09', '2023-10', '2024-02', '2024-03']"
jews for racial & economic justice,31,34,2021-07,"['2021-07', '2021-10', '2022-05', '2022-06', '2022-12', '2023-01', '2023-03', '2023-04', '2023-05', '2023-06', '2023-10', '2024-03', '2024-04', '2024-05', '2024-06', '2024-08', '2024-09', '2024-10', '2024-11', '2025-04']"
save the uc townhomes coalition,31,35,2022-07,"['2022-07', '2022-08', '2023-07']"
casa,30,36,2021-03,"['2021-03', '2021-07', '2021-08', '2021-09', '2021-10', '2021-12', '2022-01', '2022-03', '2022-07', '2022-09', '2022-10', '2022-12', '2023-01', '2023-02', '2023-03', '2023-05', '2023-07', '2023-11', '2024-02', '2024-06', '2024-07', '2024-10']"
palestinian youth movement,27,37,2021-12,"['2021-12', '2022-01', '2023-05', '2023-08', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-07', '2024-09', '2024-10', '2025-01', '2025-02']"
cancel the rents,27,38,2020-07,"['2020-07', '2021-01', '2021-02', '2021-08']"
guardians of divinity,26,39,2022-10,"['2022-10', '2023-05', '2023-06', '2023-08', '2023-09', '2023-10', '2023-11', '2024-07', '2024-10']"
met council on housing,26,40,2020-10,"['2020-10', '2021-03', '2021-04', '2021-05', '2021-06', '2021-08', '2021-12', '2022-02', '2022-04', '2022-06', '2023-02', '2023-03', '2023-05', '2023-06', '2024-03', '2024-06']"
uptown revolutionaries,25,41,2022-03,"['2022-03', '2022-04', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07']"
power up connecticut,25,42,2022-12,['2022-12']
stop the sweeps seattle,25,43,2022-02,"['2022-02', '2022-03', '2022-07', '2022-11', '2024-01', '2024-08', '2024-11', '2024-12']"
parents,24,44,2021-01,"['2021-01', '2021-03', '2021-09', '2021-10', '2022-04', '2022-06', '2022-11', '2023-03', '2023-04', '2023-05', '2023-08', '2023-10', '2024-07', '2024-10', '2025-02']"
families,24,45,2021-06,"['2021-06', '2021-12', '2022-03', '2023-04', '2023-09', '2023-12', '2024-04', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2025-01']"
cuffh,24,46,2021-12,"['2021-12', '2022-03', '2022-04', '2022-05', '2022-12', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-10', '2024-01', '2024-03', '2024-04', '2024-05', '2024-11', '2024-12', '2025-01']"
direct action for rights and equality,23,47,2018-02,"['2018-02', '2020-11', '2021-10', '2021-11', '2021-12', '2022-09', '2022-12', '2023-05']"
codepink,23,48,2022-02,"['2022-02', '2022-09', '2022-11', '2024-04', '2024-07', '2024-08', '2024-11', '2025-01']"
la tenants union,23,49,2018-11,"['2018-11', '2020-11', '2021-02', '2021-03', '2021-07', '2021-08', '2021-09', '2021-12', '2022-04', '2022-05', '2022-07', '2022-10', '2022-12', '2023-10', '2023-12', '2024-06', '2024-08', '2024-09']"
alliance of californians for community empowerment,22,50,2018-11,"['2018-11', '2021-07', '2021-08', '2021-09', '2021-12', '2022-06', '2022-09', '2022-10', '2022-12', '2023-01', '2023-03', '2023-04', '2023-05', '2023-08', '2024-04']"
black lives matter-la,22,51,2020-11,"['2020-11', '2020-12']"
children,22,52,2021-09,"['2021-09', '2021-12', '2023-08', '2023-12', '2024-04', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2025-01']"
veterans for peace,22,53,2022-02,"['2022-02', '2022-04', '2022-05', '2022-08', '2022-09', '2022-11', '2022-12', '2023-08', '2023-10', '2024-03', '2024-04', '2024-05', '2024-08', '2024-10', '2024-11', '2024-12', '2025-01']"
kc tenants,22,54,2019-10,"['2019-10', '2020-06', '2020-07', '2020-10', '2021-01', '2021-05', '2021-06', '2021-10', '2022-08', '2022-11', '2023-02', '2023-06', '2023-08', '2023-11']"
make the road new york,21,55,2021-04,"['2021-04', '2022-03', '2022-05', '2022-06', '2022-10', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-10', '2023-12', '2024-03', '2024-04', '2024-11']"
philadelphia housing action,21,56,2020-06,"['2020-06', '2020-07', '2020-08', '2020-09', '2020-10', '2020-11']"
brooklyn eviction defense,21,57,2021-01,"['2021-01', '2021-02', '2021-03', '2021-08', '2021-10', '2022-01', '2022-02', '2022-03', '2022-04', '2022-06', '2022-08', '2022-11', '2023-03', '2023-04', '2024-03', '2024-04']"
homeless people,21,58,2021-01,"['2021-01', '2021-03', '2021-04', '2021-06', '2021-07', '2022-10', '2022-12', '2023-03']"
howard university ydsa,21,59,2021-10,"['2021-10', '2021-11']"
renters,20,60,2020-06,"['2020-06', '2020-08', '2021-01', '2021-10', '2021-12', '2022-04', '2022-08', '2022-09', '2023-01', '2023-05', '2023-06', '2023-08', '2023-12', '2024-02', '2024-05', '2024-06', '2024-09']"
student workers,20,61,2022-04,"['2022-04', '2023-03', '2023-04']"
guardian angels,19,62,2023-08,"['2023-08', '2023-09', '2023-10', '2023-11', '2024-01']"
allies,19,63,2022-05,"['2022-05', '2022-09', '2022-10', '2023-02', '2023-05', '2023-06', '2023-07', '2023-10', '2024-01', '2024-12']"
crown heights tenants union,19,64,2020-08,"['2020-08', '2020-12', '2021-02', '2021-03', '2021-11', '2021-12', '2022-01', '2022-02', '2022-04', '2022-05', '2022-06', '2022-08', '2022-11', '2023-03', '2023-08', '2024-03', '2024-04']"
hillside villa tenants association,19,65,2021-08,"['2021-08', '2021-10', '2022-04', '2022-05', '2022-08', '2023-02', '2023-03', '2023-04', '2023-06', '2023-07', '2023-08', '2023-09', '2023-12', '2024-08', '2024-12']"
ground game la,19,66,2020-11,"['2020-11', '2020-12', '2023-04']"
unite here! local 11,18,67,2022-10,"['2022-10', '2023-01', '2023-02', '2023-03', '2023-06', '2023-08', '2024-05', '2024-07']"
inmates,17,68,2022-03,['2022-03']
frso,16,69,2023-12,"['2023-12', '2024-01', '2024-02', '2024-04', '2024-05', '2024-08', '2024-10', '2024-11', '2025-01']"
local residents,16,70,2020-05,"['2020-05', '2021-12', '2023-05', '2023-08', '2024-03', '2024-04', '2024-05', '2024-07', '2024-09', '2024-10', '2025-03']"
teachers,16,71,2021-01,"['2021-01', '2022-02', '2022-04', '2022-12', '2023-02', '2023-03', '2023-04', '2023-05', '2023-10', '2024-01', '2025-02']"
housing works,16,72,2021-07,"['2021-07', '2022-03', '2022-04', '2022-07', '2022-12', '2023-04', '2023-05', '2023-12', '2024-01', '2024-03', '2024-11', '2024-12']"
seiu local 26,15,73,2021-07,"['2021-07', '2022-10']"
dsa,15,74,2022-09,"['2022-09', '2022-10', '2023-03', '2023-04', '2023-05', '2023-09', '2023-10', '2023-11', '2024-06', '2024-11', '2025-01', '2025-02']"
faculty,15,75,2021-04,"['2021-04', '2021-10', '2023-03', '2023-04', '2023-05', '2023-07', '2023-09', '2023-10', '2024-02', '2024-04', '2024-08', '2024-10', '2025-04']"
poor magazine,15,76,2021-05,"['2021-05', '2021-07', '2022-03', '2024-04', '2024-11', '2024-12', '2025-03']"
stomp out slumlords,15,77,2020-10,"['2020-10', '2021-01', '2021-02', '2021-03', '2021-05', '2021-06', '2021-07', '2021-09', '2022-03', '2023-02', '2023-07', '2023-11', '2024-03', '2024-04']"
freedom road socialist organization,14,78,2020-11,"['2020-11', '2021-05', '2022-07', '2022-08', '2022-09', '2022-10', '2023-01', '2024-04', '2025-01', '2025-02', '2025-03']"
desk attendants,14,79,2022-10,['2022-10']
caretakers,14,80,2022-10,['2022-10']
sunrise movement,13,81,2020-10,"['2020-10', '2020-11', '2021-02', '2021-10', '2021-11', '2022-03', '2022-11', '2023-04', '2023-06', '2024-09', '2025-01']"
center for community alternatives,13,82,2021-04,"['2021-04', '2021-06', '2022-03', '2022-12', '2023-03', '2023-04']"
jewish voice for peace,13,83,2023-05,"['2023-05', '2023-10', '2024-01', '2024-02', '2024-04', '2024-05', '2024-09', '2025-01']"
harris for president,13,84,2024-08,"['2024-08', '2024-09', '2024-10', '2024-11']"
students for a democratic society,13,85,2021-04,"['2021-04', '2021-06', '2022-07', '2023-04', '2023-12', '2024-04', '2024-08', '2025-02', '2025-03']"
seiu,13,86,2021-01,"['2021-01', '2021-07', '2021-12', '2022-09', '2023-03', '2023-05', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-07']"
workers,13,87,2022-05,"['2022-05', '2023-02', '2023-05', '2023-06', '2023-08', '2023-11', '2024-01', '2024-03', '2024-08', '2024-09']"
homeless advocates,12,88,2020-01,"['2020-01', '2020-02', '2020-03', '2021-04', '2022-06', '2022-11', '2023-02', '2023-03', '2023-12', '2024-04', '2024-07', '2024-08']"
american muslims for palestine,12,89,2022-01,"['2022-01', '2023-10', '2023-12', '2024-01', '2024-03', '2024-04', '2024-07', '2024-08', '2024-11']"
city life/vida urbana,12,90,2020-09,"['2020-09', '2020-10', '2021-02', '2021-03', '2021-04', '2022-06', '2023-01', '2023-05', '2024-05']"
northside action for justice,12,91,2022-08,"['2022-08', '2022-09']"
chinatown community for equitable development,12,92,2021-06,"['2021-06', '2021-08', '2021-10', '2022-07', '2022-10', '2023-04', '2023-06', '2023-07', '2023-08', '2024-12']"
faith leaders,12,93,2022-01,"['2022-01', '2022-08', '2023-01', '2023-02', '2024-01', '2024-02', '2024-03', '2024-04', '2024-11', '2024-12']"
clergy,11,94,2021-03,"['2021-03', '2022-12', '2023-01', '2023-04', '2023-06', '2023-07', '2023-09', '2024-01', '2024-06']"
people's city council - los angeles,11,95,2022-02,"['2022-02', '2022-03', '2022-08', '2022-10', '2024-07']"
massachusetts coalition for the homeless,11,96,2023-11,"['2023-11', '2024-08', '2024-09', '2024-10', '2025-01']"
dare to struggle,11,97,2022-10,"['2022-10', '2022-11', '2023-08', '2024-09', '2024-10', '2025-03']"
desis rising up and moving,11,98,2022-05,"['2022-05', '2023-02', '2023-03', '2023-05', '2023-09', '2024-02', '2024-06', '2024-08']"
uaw 2865,11,99,2022-02,"['2022-02', '2022-04']"
friends,11,100,2021-04,"['2021-04', '2022-04', '2023-03', '2023-06', '2023-07', '2023-08', '2023-11', '2023-12', '2025-01']"
uaw 5810,11,101,2022-02,"['2022-02', '2022-04']"
unhoused people,11,102,2021-10,"['2021-10', '2022-04', '2022-10', '2023-06', '2023-11', '2023-12', '2024-07']"
anti-war committee,11,103,2022-01,"['2022-01', '2022-02', '2022-03', '2022-05', '2022-08', '2022-10', '2022-12', '2023-06', '2023-12']"
la can,11,104,2022-03,"['2022-03', '2022-07', '2022-08', '2022-10', '2022-12', '2023-01', '2024-04']"
jews for racial and economic justice,11,105,2020-12,"['2020-12', '2021-07', '2021-08', '2022-07', '2022-11', '2022-12', '2023-02', '2023-10', '2023-12', '2024-01', '2025-04']"
u.s. palestinian community network,11,106,2023-10,"['2023-10', '2024-04', '2024-08', '2024-10', '2024-11', '2025-01']"
new york working families party,10,107,2022-11,"['2022-11', '2022-12', '2023-03', '2023-05', '2023-06', '2024-02', '2024-03']"
answer coalition,10,108,2021-08,"['2021-08', '2023-04', '2023-10', '2023-12', '2024-03', '2024-05', '2024-10', '2025-01']"
patient care workers,10,109,2023-04,['2023-04']
student researchers united - uaw,10,110,2022-04,['2022-04']
for the many,10,111,2022-03,"['2022-03', '2022-10', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2024-08']"
art against displacement,10,112,2020-12,"['2020-12', '2021-09', '2021-10', '2022-03', '2022-04', '2022-05', '2022-08', '2022-10', '2022-11']"
veterans,9,113,2021-11,"['2021-11', '2022-01', '2023-01', '2024-01', '2024-04', '2024-05', '2024-11', '2025-01']"
workers world party,9,114,2022-02,"['2022-02', '2023-04', '2023-06', '2023-09', '2023-10', '2023-11', '2024-08', '2025-01']"
democratic socialists of america,9,115,2018-11,"['2018-11', '2020-05', '2020-10', '2020-11', '2021-03', '2022-07', '2024-04', '2025-04']"
housing organizers for people empowerment,9,116,2020-11,"['2020-11', '2021-01', '2021-04', '2021-08', '2022-04', '2022-10', '2023-02', '2023-06']"
new hampshire coalition to end homelessness,9,117,2022-12,"['2022-12', '2023-12']"
street watch la,9,118,2021-01,"['2021-01', '2021-02', '2021-06', '2021-09', '2022-03', '2022-07', '2022-08']"
housing advocates,9,119,2019-11,"['2019-11', '2021-11', '2021-12', '2022-12', '2023-05', '2023-09', '2025-04']"
working families party,9,120,2020-08,"['2020-08', '2021-07', '2021-12', '2022-06', '2023-03', '2023-05', '2024-04', '2024-06']"
massachusetts law reform institute,9,121,2021-07,"['2021-07', '2023-11', '2024-08', '2024-09', '2024-10', '2025-01']"
we the unhoused,9,122,2021-07,"['2021-07', '2021-09', '2022-03', '2022-08', '2022-10', '2022-12', '2023-05', '2024-05']"
citizen action of new york,9,123,2021-10,"['2021-10', '2022-05', '2022-11', '2022-12', '2023-02', '2023-04', '2023-05']"
american indian movement,9,124,2020-08,"['2020-08', '2021-03', '2022-10', '2023-02', '2023-07', '2023-08']"
detroit eviction defense,8,125,2020-05,"['2020-05', '2020-08', '2021-01', '2021-02', '2021-10', '2022-05', '2023-02']"
los angeles tenants union,8,126,2020-11,"['2020-11', '2022-04', '2022-10', '2023-02', '2023-08', '2024-04', '2024-08', '2025-01']"
50501 movement,8,127,2025-02,"['2025-02', '2025-04']"
fight concord pines,8,128,2022-03,"['2022-03', '2022-04']"
minnesota peace action coalition,8,129,2022-02,"['2022-02', '2022-03', '2022-05', '2022-08', '2022-10', '2022-12']"
community action for safe apartments,8,130,2021-08,"['2021-08', '2022-04', '2022-06', '2022-09', '2023-05', '2024-06']"
graduate students,8,131,2021-05,"['2021-05', '2021-06', '2022-02', '2022-10', '2023-02', '2023-06', '2024-02']"
right to counsel nyc coalition,8,132,2020-10,"['2020-10', '2022-08', '2022-10', '2023-02', '2023-03', '2023-09', '2024-03']"
naacp,8,133,2021-08,"['2021-08', '2021-10', '2022-06', '2023-03', '2023-05', '2023-12', '2024-07', '2025-03']"
invest in our new york campaign,8,134,2022-12,"['2022-12', '2023-02', '2023-03', '2024-04']"
family,8,135,2022-04,"['2022-04', '2023-03', '2023-05', '2023-08', '2023-11', '2023-12', '2024-02', '2025-01']"
ridgewood tenants union,8,136,2019-10,"['2019-10', '2020-11', '2021-01', '2021-05', '2021-12', '2022-04', '2024-01', '2024-05']"
seniors,8,137,2021-09,"['2021-09', '2022-09', '2023-04', '2023-05', '2023-06', '2023-10', '2024-10']"
make the road new jersey,8,138,2017-08,"['2017-08', '2022-06', '2022-11', '2022-12', '2023-02', '2023-07', '2024-09']"
black alliance for peace,8,139,2022-10,"['2022-10', '2023-01', '2023-08', '2023-10', '2024-03', '2024-07', '2024-08']"
union members,8,140,2022-12,"['2022-12', '2023-05', '2023-08', '2024-03', '2024-09', '2025-03']"
african communities together,8,141,2020-12,"['2020-12', '2021-10', '2022-11', '2023-11', '2023-12', '2024-04', '2024-05']"
acce action,8,142,2020-10,"['2020-10', '2021-01', '2024-09', '2024-10', '2024-12']"
t'ruah,7,143,2021-08,"['2021-08', '2023-04', '2023-06', '2023-12', '2024-01', '2024-03']"
ny working families party,7,144,2021-08,"['2021-08', '2022-03', '2023-03', '2024-06']"
lynn united for change,7,145,2020-07,"['2020-07', '2021-03', '2021-05', '2022-05', '2022-06', '2023-03', '2023-08']"
educators,7,146,2021-02,"['2021-02', '2021-03', '2022-06', '2022-11', '2023-04', '2023-05', '2024-11']"
united front committee for a labor party,7,147,2021-07,"['2021-07', '2022-01', '2022-12', '2023-09', '2024-02', '2024-05', '2024-08']"
cair,7,148,2022-12,"['2022-12', '2023-01', '2023-10', '2023-11', '2024-02', '2024-11']"
st. petersburg tenants union,7,149,2020-12,"['2020-12', '2021-08', '2021-10', '2022-02', '2022-05', '2022-08', '2023-07']"
coalition on homelessness,7,150,2019-04,"['2019-04', '2020-05', '2020-08', '2022-12', '2023-06', '2024-04', '2024-08']"
lawmakers,7,151,2020-02,"['2020-02', '2021-09', '2021-11', '2023-01', '2023-02', '2023-05', '2023-08']"
reno houseless union,7,152,2021-06,['2021-06']
youth against displacement,7,153,2022-03,"['2022-03', '2022-04', '2023-11', '2024-10']"
florida rising,7,154,2022-05,"['2022-05', '2022-08', '2023-03', '2023-06', '2023-11']"
denver communists,7,155,2023-01,"['2023-01', '2023-06', '2023-07', '2024-02', '2024-04', '2024-06', '2024-10']"
atlanta student movement,7,156,2021-10,['2021-10']
community leaders,7,157,2021-09,"['2021-09', '2022-01', '2023-01', '2023-02', '2023-07', '2023-12', '2024-08']"
food & water watch,7,158,2022-05,"['2022-05', '2022-07', '2023-04', '2023-05', '2023-09', '2023-11', '2024-09']"
flatbush tenant coalition,7,159,2021-12,"['2021-12', '2022-01', '2022-10', '2022-11', '2023-02', '2023-03', '2023-06']"
jewish helping hands,7,160,2021-12,['2021-12']
32bj seiu,7,161,2021-03,"['2021-03', '2022-08', '2022-10', '2023-05', '2023-08', '2024-03', '2025-02']"
abolition park,7,162,2020-09,"['2020-09', '2020-10', '2021-02']"
communities united for police reform,7,163,2022-07,"['2022-07', '2022-12', '2023-04', '2023-05', '2023-06', '2024-01', '2024-05']"
nyc-dsa,7,164,2022-03,"['2022-03', '2023-03', '2023-05', '2024-06']"
migrant justice,7,165,2023-06,"['2023-06', '2024-05', '2024-10']"
east new york community land trust,7,166,2022-02,"['2022-02', '2023-02', '2023-05', '2023-06', '2023-11', '2023-12']"
citizen action,7,167,2022-03,"['2022-03', '2022-11', '2023-03', '2024-02', '2024-04', '2024-05', '2024-06']"
women against military madness,7,168,2020-11,"['2020-11', '2022-02', '2022-08', '2022-12', '2024-08']"
graduate student workers,7,169,2022-04,"['2022-04', '2023-07', '2023-09', '2023-10', '2023-11', '2024-04']"
food not bombs,7,170,2021-11,"['2021-11', '2022-11', '2023-03', '2023-04', '2023-09', '2024-10', '2025-02']"
nyc dsa,7,171,2022-01,"['2022-01', '2022-05', '2022-06', '2023-03', '2023-05', '2023-06']"
new virginia majority,7,172,2020-05,"['2020-05', '2020-07', '2022-04', '2022-05', '2022-08', '2023-01', '2023-06']"
flight attendants,6,173,2023-12,"['2023-12', '2024-02']"
chicago coalition for the homeless,6,174,2022-05,"['2022-05', '2022-07', '2022-10', '2022-12', '2023-03', '2024-03']"
neturei karta,6,175,2023-10,"['2023-10', '2023-11', '2024-07', '2024-08', '2025-02']"
community protestors,6,176,2019-05,"['2019-05', '2019-11', '2020-02', '2020-04']"
twin cities encampment responders,6,177,2021-03,"['2021-03', '2022-01', '2022-07', '2022-08', '2022-12']"
uhuru solidarity movement,6,178,2020-10,['2020-10']
fridays for future nyc,6,179,2021-10,"['2021-10', '2022-10', '2023-05', '2024-02']"
candidates for office,6,180,2021-03,"['2021-03', '2022-02', '2022-08', '2022-10', '2023-08']"
by any means necessary,6,181,2022-07,"['2022-07', '2023-01', '2023-11', '2023-12', '2024-08']"
open hearts initiative,6,182,2020-08,"['2020-08', '2022-03', '2022-07', '2023-03', '2023-09']"
peoples power assembly,6,183,2020-10,"['2020-10', '2020-11', '2023-11', '2024-03', '2024-08', '2025-02']"
the poor people's campaign,6,184,2018-05,"['2018-05', '2018-06']"
services not sweeps,6,185,2019-12,"['2019-12', '2022-07', '2022-08', '2023-08']"
