actor,occurrence_count,rank,first_appearance,unique_dates
sistersong,251,11,2025-01,['2025-01']
abortion action now,247,12,2025-01,['2025-01']
women⊙s march,247,13,2025-01,['2025-01']
popular democracy,247,14,2025-01,['2025-01']
harriet⊙s wildest dreams,247,15,2025-01,['2025-01']
time to act,247,16,2025-01,['2025-01']
now,247,17,2025-01,['2025-01']
national women⊙s law center,247,18,2025-01,['2025-01']
frontline,247,19,2025-01,['2025-01']
psl,246,20,2022-05,"['2022-05', '2022-06', '2022-07', '2022-10', '2022-11', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02']"
community members,229,21,2017-01,"['2017-01', '2018-04', '2019-04', '2019-06', '2021-01', '2021-02', '2021-04', '2021-05', '2021-06', '2021-07', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-03', '2022-04', '2022-05', '2022-06', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03']"
prisoners,222,22,2018-04,"['2018-04', '2018-07', '2018-08', '2020-03', '2020-04', '2021-01', '2021-06', '2022-01', '2022-08', '2022-09', '2022-10', '2023-01']"
family,219,23,2019-11,"['2019-11', '2020-07', '2020-09', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01']"
men,205,24,2022-05,"['2022-05', '2022-09', '2022-10', '2023-01', '2024-05']"
women in black,191,25,2017-02,"['2017-02', '2017-03', '2017-04', '2017-05', '2017-06', '2017-07', '2017-08', '2017-09', '2017-10', '2017-11', '2017-12', '2018-01', '2018-02', '2018-03', '2018-04', '2018-05', '2018-06', '2018-07', '2018-08', '2018-09', '2018-10', '2018-11', '2018-12', '2019-01', '2019-02', '2019-03', '2019-04', '2019-05', '2019-06', '2019-07', '2019-08', '2019-09', '2019-10', '2019-11', '2019-12', '2020-01', '2020-02', '2020-03', '2020-04', '2020-05', '2020-06', '2020-07', '2020-08', '2020-09', '2020-10', '2020-11', '2020-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12']"
palestinian youth movement,183,26,2021-06,"['2021-06', '2021-09', '2022-05', '2022-08', '2023-04', '2023-07', '2023-08', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03']"
inmates,165,27,2017-12,"['2017-12', '2020-03', '2020-04', '2020-05', '2020-06', '2020-08', '2020-09', '2020-11', '2020-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-07', '2021-08', '2022-01', '2022-02', '2022-03', '2022-08', '2022-12', '2023-02', '2023-03', '2023-04', '2023-08', '2023-09', '2023-10', '2024-02', '2024-03', '2024-05']"
families,130,28,2021-03,"['2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2022-01', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2025-01', '2025-02']"
activists,128,29,2020-05,"['2020-05', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-10', '2021-11', '2021-12', '2022-01', '2022-05', '2022-06', '2022-07', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-08', '2024-09', '2025-02']"
wilpf,118,30,2023-02,"['2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04']"
sandy hook promise,107,31,2017-01,"['2017-01', '2017-02', '2017-03', '2017-04', '2017-05', '2017-06', '2017-07', '2017-08', '2017-09', '2017-10', '2017-11', '2017-12', '2018-01', '2018-02', '2018-03', '2018-04', '2018-05', '2018-06', '2018-07', '2018-08', '2018-09', '2018-10', '2018-11', '2018-12', '2019-01', '2019-02', '2019-03', '2019-04', '2019-05', '2019-06', '2019-07', '2019-08', '2019-09', '2019-10', '2019-11', '2019-12', '2020-01', '2020-02', '2020-03', '2020-04', '2020-05', '2020-06', '2020-07', '2020-08', '2020-09', '2020-10', '2020-11', '2020-12', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04']"
parents,106,32,2018-03,"['2018-03', '2019-05', '2021-05', '2021-06', '2021-07', '2021-09', '2021-11', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-06', '2024-07', '2024-09', '2024-12']"
friends,92,33,2020-07,"['2020-07', '2020-09', '2021-03', '2021-04', '2021-05', '2021-07', '2021-08', '2021-11', '2022-01', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-09', '2024-11', '2025-01']"
everytown for gun safety,90,34,2018-10,"['2018-10', '2019-04', '2019-06', '2021-06', '2022-01', '2022-05', '2022-06', '2022-09', '2023-02', '2023-03', '2023-05', '2024-01', '2024-12']"
detroit will breathe,88,35,2020-06,"['2020-06', '2020-07', '2020-08', '2020-09', '2020-10', '2020-11', '2020-12', '2023-01']"
answer coalition,78,36,2021-05,"['2021-05', '2022-02', '2022-06', '2022-07', '2023-02', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2025-01']"
faith leaders,76,37,2018-08,"['2018-08', '2020-07', '2021-04', '2021-05', '2021-10', '2021-11', '2022-04', '2022-05', '2022-06', '2022-08', '2022-11', '2022-12', '2023-01', '2023-02', '2023-05', '2023-06', '2023-08', '2023-12', '2024-01', '2024-03', '2024-08', '2024-10']"
teachers,63,38,2018-02,"['2018-02', '2018-03', '2018-04', '2018-06', '2021-05', '2021-06', '2022-04', '2022-05', '2022-06', '2022-08', '2022-10', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-10', '2023-12', '2024-01', '2024-02', '2024-04', '2024-09', '2025-01']"
residents,60,39,2018-03,"['2018-03', '2020-10', '2021-06', '2021-08', '2021-11', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-10', '2022-11', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-09', '2023-10', '2023-11', '2024-01', '2024-04', '2024-07', '2024-08', '2024-09', '2025-01']"
students for justice in palestine,59,40,2021-06,"['2021-06', '2022-01', '2023-02', '2023-04', '2023-07', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-10', '2025-03']"
children,57,41,2021-06,"['2021-06', '2021-11', '2022-05', '2022-06', '2022-07', '2023-03', '2023-05', '2023-06', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-12', '2025-01']"
neturei karta,57,42,2023-01,"['2023-01', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-04']"
u.s. palestinian community network,52,43,2022-06,"['2022-06', '2022-08', '2022-10', '2023-02', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-10', '2024-11', '2024-12', '2025-01']"
lehigh-pocono committee of concern,52,44,2024-01,"['2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12']"
proud boys,50,45,2018-11,"['2018-11', '2020-09', '2020-10', '2020-11', '2021-01', '2021-02', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-06', '2022-07', '2022-09', '2022-10', '2022-11', '2023-01', '2023-05', '2023-08', '2023-10', '2024-01', '2024-02', '2024-03', '2025-01']"
release aging people in prison campaign,49,46,2020-10,"['2020-10', '2020-11', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-08', '2021-11', '2022-03', '2022-04', '2022-08', '2022-09', '2022-12', '2023-01', '2023-04', '2023-05', '2023-06', '2023-08', '2023-12', '2024-01', '2024-03', '2024-05']"
women's march,49,47,2017-07,"['2017-07', '2018-02', '2018-06', '2021-10', '2022-05', '2022-06', '2022-07', '2022-10', '2023-01', '2023-04', '2023-12', '2024-01', '2024-06', '2024-10', '2024-11', '2025-01', '2025-03']"
naacp,48,48,2017-07,"['2017-07', '2017-08', '2019-04', '2020-07', '2021-01', '2021-04', '2021-05', '2021-06', '2021-09', '2021-10', '2022-01', '2022-04', '2022-05', '2022-06', '2022-09', '2022-10', '2023-01', '2023-02', '2023-03', '2023-04', '2023-06', '2023-07', '2023-08', '2023-10', '2023-11', '2023-12', '2024-04', '2024-09', '2024-10', '2025-01', '2025-04']"
center for community alternatives,48,49,2020-10,"['2020-10', '2020-12', '2021-04', '2021-05', '2021-06', '2021-09', '2021-10', '2021-11', '2021-12', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-09', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-12', '2024-01', '2024-05', '2024-12', '2025-02', '2025-03']"
vocal-ny,47,50,2020-10,"['2020-10', '2021-03', '2021-09', '2022-02', '2022-03', '2022-04', '2022-06', '2022-07', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-10', '2024-01', '2024-03', '2024-07', '2024-12', '2025-01']"
poor people's campaign,45,51,2020-11,"['2020-11', '2021-09', '2022-04', '2022-06', '2023-04', '2023-06', '2024-03', '2024-06']"
workers world party,45,52,2021-06,"['2021-06', '2021-08', '2021-09', '2022-02', '2023-04', '2023-06', '2023-07', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-03', '2024-04', '2024-05', '2024-06', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-03']"
jewish voice for peace,44,53,2021-06,"['2021-06', '2022-04', '2023-04', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-07', '2025-03']"
christian groups,44,54,2024-02,"['2024-02', '2024-03', '2024-04']"
south sound abolition,44,55,2024-03,"['2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12']"
the national constitutional coalition of patriotic americans,44,56,2018-04,['2018-04']
al-awda,43,57,2023-04,"['2023-04', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-07', '2024-10', '2024-11']"
the people's forum,43,58,2023-10,"['2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2025-01']"
american muslims for palestine,43,59,2021-06,"['2021-06', '2023-04', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2025-01']"
new york communities for change,43,60,2020-10,"['2020-10', '2021-03', '2021-04', '2021-05', '2021-06', '2021-09', '2021-11', '2022-03', '2022-04', '2022-05', '2022-09', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-11', '2023-12', '2024-01', '2025-01', '2025-02']"
community leaders,42,61,2021-04,"['2021-04', '2021-05', '2021-08', '2021-10', '2022-03', '2022-05', '2022-06', '2022-08', '2022-09', '2022-10', '2022-12', '2023-01', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2024-02', '2024-03', '2024-08', '2024-10', '2025-01']"
50501 movement,41,62,2025-02,"['2025-02', '2025-03', '2025-04']"
supporters,40,63,2020-09,"['2020-09', '2021-01', '2021-07', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-04', '2022-05', '2022-07', '2022-09', '2022-10', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-10', '2024-03', '2024-08', '2024-09']"
american federation of teachers,40,64,2022-05,"['2022-05', '2022-06', '2023-03', '2023-04']"
advocates,40,65,2019-02,"['2019-02', '2020-07', '2020-09', '2021-01', '2021-06', '2021-07', '2021-09', '2022-03', '2022-06', '2022-09', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-10', '2023-11', '2024-01', '2024-02', '2024-04', '2024-05', '2024-06', '2024-10']"
death penalty action,40,66,2019-12,"['2019-12', '2020-11', '2020-12', '2021-01', '2021-05', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-04', '2022-06', '2022-11', '2023-02', '2023-03', '2023-05', '2023-09', '2024-01', '2024-02', '2024-05', '2024-07', '2024-08', '2024-11']"
faculty,40,67,2021-10,"['2021-10', '2021-11', '2021-12', '2022-05', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-10', '2024-02', '2024-03', '2024-04', '2024-05', '2024-09', '2025-04']"
repairers of the breach,38,68,2022-06,"['2022-06', '2023-04', '2023-09', '2024-01', '2024-03', '2024-06']"
survivors,37,69,2022-03,"['2022-03', '2022-04', '2022-07', '2022-09', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2024-01']"
detainees,37,70,2018-07,"['2018-07', '2020-03', '2020-05', '2022-01', '2022-02', '2022-05']"
dsa,36,71,2022-05,"['2022-05', '2022-07', '2023-03', '2023-08', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-06', '2024-07', '2024-08', '2024-10', '2025-01', '2025-02']"
within our lifetime,36,72,2022-08,"['2022-08', '2023-01', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-08', '2024-09', '2024-10']"
gays against guns,36,73,2017-10,"['2017-10', '2017-12', '2018-02', '2019-12', '2020-09', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-08', '2023-10', '2023-12', '2024-02', '2024-07', '2025-01']"
kairos center,35,74,2022-06,"['2022-06', '2024-03', '2024-06']"
north carolina coalition for alternatives to the death penalty,34,75,2022-12,"['2022-12', '2023-01', '2024-01']"
family members,34,76,2019-10,"['2019-10', '2020-12', '2021-02', '2021-04', '2021-05', '2021-06', '2021-11', '2022-04', '2022-06', '2022-07', '2022-09', '2022-11', '2023-01', '2023-04', '2023-05', '2023-07', '2023-09', '2023-10', '2024-01', '2024-09', '2024-11']"
clergy,33,77,2021-03,"['2021-03', '2021-04', '2021-05', '2022-05', '2022-06', '2022-07', '2023-01', '2023-04', '2023-05', '2023-06', '2023-08', '2024-01', '2024-03', '2024-04', '2024-06', '2024-10', '2025-04']"
decarcerate now nc,33,78,2022-12,"['2022-12', '2023-01']"
decarcerate now! nc coalition,33,79,2023-11,"['2023-11', '2023-12']"
party for socialism and liberation,33,80,2018-05,"['2018-05', '2020-04', '2020-10', '2020-11', '2020-12', '2021-02', '2021-04', '2021-05', '2021-09', '2021-10', '2021-11', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2023-06', '2023-09', '2024-01', '2024-03', '2025-03', '2025-04']"
halt solitary,32,81,2021-03,"['2021-03', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-09', '2022-11', '2022-12', '2023-02', '2023-05', '2023-06', '2023-07', '2023-08', '2023-11', '2024-04', '2024-09']"
harriet's wildest dreams,32,82,2021-11,"['2021-11', '2022-06', '2022-08', '2022-10', '2022-11', '2023-01', '2023-06', '2023-08', '2023-11', '2023-12', '2024-01', '2024-02', '2024-05', '2024-06', '2024-07', '2024-09', '2024-11', '2024-12', '2025-01', '2025-02']"
veterans for peace,32,83,2021-09,"['2021-09', '2022-02', '2022-06', '2023-04', '2023-05', '2023-07', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-07', '2024-09', '2024-10', '2024-12', '2025-01']"
jews for racial & economic justice,32,84,2021-11,"['2021-11', '2022-03', '2022-04', '2022-05', '2022-06', '2022-12', '2023-01', '2023-03', '2023-05', '2023-06', '2024-01', '2024-03', '2024-04', '2024-06', '2024-07']"
rise and resist ny,31,85,2022-03,"['2022-03', '2022-05', '2022-10', '2022-11', '2023-01', '2023-03', '2023-04', '2023-05', '2023-06', '2023-08', '2024-02', '2024-04', '2024-06', '2024-07', '2024-08', '2024-09']"
frso,31,86,2023-01,"['2023-01', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-10', '2024-11', '2025-01']"
incarcerated men,30,87,2022-01,"['2022-01', '2022-06']"
change the ref,29,88,2022-05,"['2022-05', '2023-02', '2023-03', '2023-04', '2023-07', '2023-08', '2023-11', '2024-08']"
mothers united against violence,29,89,2017-12,"['2017-12', '2019-06', '2019-12', '2021-04', '2021-07', '2021-08', '2021-09', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2023-01', '2023-04', '2023-12']"
anti-corruption foundation,29,90,2023-08,['2023-08']
moms demand action for gun sense in america,28,91,2017-06,"['2017-06', '2017-12', '2018-02', '2018-03', '2018-08', '2019-04', '2019-06', '2021-03', '2021-06', '2022-05', '2022-06', '2022-12', '2023-12', '2024-06']"
communities not cages,27,92,2021-11,"['2021-11', '2022-04', '2022-09', '2022-11', '2023-05', '2023-12', '2024-12']"
religious leaders,27,93,2021-03,"['2021-03', '2021-05', '2021-06', '2021-12', '2022-01', '2022-04', '2022-05', '2022-09', '2022-11', '2022-12', '2023-04', '2023-05', '2023-08', '2023-09', '2023-11', '2024-01', '2024-11']"
palestinian feminist collective,26,94,2023-10,"['2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-07', '2024-10', '2024-11', '2025-01']"
youth,25,95,2021-03,"['2021-03', '2021-05', '2021-11', '2022-04', '2022-06', '2022-07', '2022-08', '2022-09', '2023-04', '2023-05', '2023-06', '2023-07', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-07']"
maryland 2 palestine,25,96,2023-10,"['2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-06', '2024-09', '2025-01', '2025-02']"
mothers,25,97,2021-06,"['2021-06', '2021-07', '2021-08', '2022-05', '2022-06', '2022-07', '2022-08', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-07', '2023-08', '2023-09', '2023-11', '2024-01', '2024-02', '2024-05', '2025-04']"
people's campaign for parole justice,25,98,2021-04,"['2021-04', '2021-05', '2021-06', '2021-09', '2021-12', '2022-02', '2022-05', '2022-06', '2023-01', '2023-05', '2024-03', '2024-05']"
