actor,occurrence_count,rank,first_appearance,unique_dates
parents,184,18,2019-12,"['2019-12', '2020-02', '2020-12', '2021-02', '2021-03', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-05', '2023-07', '2023-08', '2023-09', '2023-12', '2024-03', '2024-04', '2024-05', '2024-09', '2025-02']"
typographers,177,19,2022-10,"['2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03']"
pressmen's union gcc/ibt local 24m/9n,177,20,2022-10,"['2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03']"
mailers,177,21,2022-10,"['2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03']"
teamsters local 205/211,177,22,2022-10,"['2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03']"
bctgm local 100g,175,23,2022-08,"['2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01']"
united steelworkers local 40,164,24,2021-10,"['2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03']"
metal workers,164,25,2021-10,"['2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03']"
queer youth assemble,142,26,2022-03,"['2022-03', '2023-03', '2023-04', '2023-10']"
uaw local 171,132,27,2022-11,"['2022-11', '2022-12', '2023-01', '2023-02', '2023-03']"
seiu healthcare pennsylvania,129,28,2020-04,"['2020-04', '2021-03', '2021-04', '2021-07', '2022-01', '2022-05', '2022-09', '2023-07', '2024-10', '2025-02']"
nursing home workers,126,29,2020-02,"['2020-02', '2020-06', '2021-03', '2021-11', '2022-05', '2022-07', '2022-09', '2023-02', '2023-03', '2023-06', '2023-07', '2023-12', '2024-07']"
paau,116,30,2022-04,"['2022-04', '2022-06', '2022-10', '2023-02', '2023-03', '2023-08', '2023-10', '2024-02', '2024-06', '2024-08', '2024-10']"
california nurses association,113,31,2017-06,"['2017-06', '2018-01', '2018-02', '2020-03', '2020-04', '2020-07', '2020-09', '2020-10', '2020-11', '2020-12', '2021-01', '2021-02', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-10', '2021-11', '2021-12', '2022-01', '2022-03', '2022-04', '2023-01', '2023-03', '2023-04', '2023-06', '2023-07', '2023-09', '2023-11', '2024-05', '2024-10']"
psl,113,32,2022-04,"['2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-12', '2023-01', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-12', '2025-01', '2025-02', '2025-03']"
survivors of the abortion holocaust,112,33,2023-02,"['2023-02', '2023-07', '2024-07', '2024-08', '2024-11', '2025-01']"
fridays for future,109,34,2021-09,"['2021-09', '2022-03']"
teachers,109,35,2019-06,"['2019-06', '2019-11', '2020-10', '2021-01', '2021-02', '2021-03', '2021-04', '2021-05', '2021-06', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-12', '2024-01', '2024-02', '2024-04', '2024-11', '2025-01', '2025-04']"
live action,105,36,2023-02,['2023-02']
planned parenthood,99,37,2017-03,"['2017-03', '2017-05', '2017-06', '2017-07', '2021-10', '2021-12', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2023-01', '2023-02', '2023-04', '2023-05', '2023-06', '2023-07', '2023-12', '2024-03', '2024-04', '2024-06', '2025-01']"
families,91,38,2020-09,"['2020-09', '2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2022-01', '2022-03', '2022-05', '2022-06', '2022-08', '2022-10', '2023-02', '2023-03', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01']"
national union of healthcare workers,90,39,2019-05,"['2019-05', '2020-07', '2021-04', '2021-05', '2022-01', '2022-08', '2022-09', '2022-10', '2024-10', '2025-02']"
children,89,40,2019-12,"['2019-12', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-05', '2022-07', '2023-03', '2023-06', '2023-08', '2023-09', '2023-10', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01']"
clergy,88,41,2017-07,"['2017-07', '2021-07', '2022-06', '2022-07', '2023-01', '2023-03', '2023-04', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-04']"
mental health workers,83,42,2022-08,"['2022-08', '2022-10', '2024-10']"
supporters,82,43,2017-03,"['2017-03', '2017-06', '2017-07', '2021-04', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2022-01', '2022-02', '2022-03', '2022-05', '2022-07', '2022-08', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2024-12']"
children's health defense,81,44,2021-11,"['2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-08', '2023-02', '2023-06', '2024-01', '2024-05', '2024-09']"
seiu,80,45,2017-06,"['2017-06', '2020-05', '2020-06', '2021-01', '2021-05', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-09', '2022-10', '2022-12', '2023-03', '2023-04', '2023-05', '2023-06', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-05', '2024-06', '2024-07', '2024-08', '2024-10', '2024-12', '2025-01', '2025-03']"
iron workers local 851,77,46,2021-10,"['2021-10', '2021-11', '2021-12']"
employees,77,47,2018-02,"['2018-02', '2020-10', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2023-01', '2023-05', '2023-07', '2023-08', '2023-09', '2024-01', '2024-02', '2024-03', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-03', '2025-04']"
residents,76,48,2021-08,"['2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-04', '2024-07', '2024-09', '2024-12', '2025-01']"
doctors against genocide,76,49,2023-12,"['2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04']"
proud boys,74,50,2020-11,"['2020-11', '2020-12', '2021-03', '2021-04', '2021-05', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-04', '2022-05', '2022-07', '2022-09', '2022-10', '2022-11', '2022-12', '2023-01', '2023-02', '2023-11', '2024-05', '2025-01']"
codepink,74,51,2021-07,"['2021-07', '2021-09', '2021-10', '2021-12', '2022-01', '2022-02', '2022-06', '2022-09', '2022-11', '2023-09', '2024-03', '2024-04', '2024-06', '2024-07', '2024-08', '2024-10', '2024-11', '2025-01', '2025-04']"
palestinian youth movement,74,52,2023-04,"['2023-04', '2023-05', '2023-08', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01']"
new york state nurses association,73,53,2019-07,"['2019-07', '2020-02', '2020-03', '2020-09', '2020-11', '2020-12', '2021-02', '2021-03', '2021-04', '2021-05', '2021-11', '2021-12', '2022-02', '2022-03', '2022-04', '2022-08', '2022-10', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-09', '2023-10', '2023-12', '2024-01', '2024-03', '2025-01']"
poor people's campaign,70,54,2018-07,"['2018-07', '2020-10', '2020-11', '2021-06', '2021-07', '2021-10', '2021-12', '2022-01', '2022-03', '2022-04', '2022-05', '2022-06', '2022-09', '2022-10', '2023-04', '2023-06', '2024-03', '2024-06', '2025-01']"
worldwide freedom rally,67,55,2023-02,['2023-02']
veterans for peace,66,56,2020-12,"['2020-12', '2022-01', '2022-02', '2022-04', '2022-08', '2022-09', '2022-10', '2022-12', '2023-04', '2023-07', '2023-08', '2023-09', '2023-10', '2023-12', '2024-01', '2024-02', '2024-03', '2024-05', '2024-07', '2024-08', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04']"
bctgm local 85,65,57,2022-08,"['2022-08', '2022-09', '2022-10']"
cape cod clergy for choice,64,58,2023-10,"['2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12']"
new mexico freedom fighters,64,59,2021-10,"['2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05']"
paratransit drivers,63,60,2023-01,"['2023-01', '2023-02', '2023-03']"
mechanics,63,61,2023-01,"['2023-01', '2023-02', '2023-03']"
dispatchers,63,62,2023-01,"['2023-01', '2023-02', '2023-03']"
bus operators,63,63,2023-01,"['2023-01', '2023-02', '2023-03']"
transit workers,63,64,2023-01,"['2023-01', '2023-02', '2023-03']"
amalgamated transit union local 689,63,65,2023-01,"['2023-01', '2023-02', '2023-03']"
minnesota nurses association,63,66,2020-05,"['2020-05', '2021-05', '2021-06', '2022-06', '2022-08', '2022-09', '2022-11', '2023-07', '2023-10', '2025-01']"
ultraviolet,61,67,2017-06,"['2017-06', '2022-05', '2022-10', '2023-03', '2025-01']"
educators,58,68,2017-03,"['2017-03', '2021-03', '2021-09', '2021-11', '2022-06', '2022-11', '2023-01', '2023-02', '2023-03', '2024-06', '2025-04']"
starbucks workers united,58,69,2022-05,"['2022-05', '2022-06', '2022-09', '2022-10', '2022-11', '2022-12', '2023-08', '2023-10', '2023-11', '2024-08', '2025-02']"
veterans,57,70,2017-05,"['2017-05', '2017-06', '2018-07', '2021-05', '2021-06', '2021-10', '2021-11', '2022-01', '2022-02', '2022-03', '2022-05', '2022-07', '2022-08', '2023-01', '2023-05', '2023-06', '2024-03', '2024-08', '2024-11', '2025-01', '2025-02', '2025-03', '2025-04']"
bloodstained men,56,71,2017-03,"['2017-03', '2017-07', '2018-03', '2018-04', '2018-08', '2018-10', '2019-02', '2020-01', '2021-10', '2022-03', '2022-05', '2022-07', '2022-08', '2023-02', '2023-07', '2023-10', '2024-06']"
indivisible,56,72,2017-02,"['2017-02', '2017-03', '2017-06', '2017-07', '2022-05', '2023-04', '2023-05', '2024-01', '2024-04', '2025-03', '2025-04']"
seiu 1199nw,54,73,2021-08,"['2021-08', '2021-09', '2021-10', '2021-11']"
teamsters local 773,54,74,2021-02,"['2021-02', '2021-12', '2022-01']"
rise up 4 abortion rights,53,75,2022-01,"['2022-01', '2022-05', '2022-06', '2022-07', '2022-09', '2022-10', '2023-01', '2023-02', '2023-04', '2023-06']"
health care workers,53,76,2017-09,"['2017-09', '2020-04', '2020-09', '2020-10', '2021-01', '2021-02', '2021-03', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2022-03', '2022-07', '2023-01', '2023-04', '2024-02', '2024-03']"
staff,53,77,2021-05,"['2021-05', '2021-06', '2021-08', '2021-09', '2021-10', '2021-12', '2022-01', '2022-02', '2022-04', '2022-06', '2022-09', '2022-10', '2022-12', '2023-02', '2023-03', '2023-05', '2023-09', '2023-10', '2024-03', '2024-04', '2024-05', '2024-06', '2024-09', '2024-10', '2024-12', '2025-01']"
green new deal network,53,78,2021-08,"['2021-08', '2021-09', '2021-10', '2024-02']"
worldwide usa,53,79,2021-08,"['2021-08', '2022-01']"
healthcare workers for palestine,51,80,2023-11,"['2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-07', '2024-10', '2024-11', '2024-12', '2025-01', '2025-04']"
national women's law center,50,81,2022-10,"['2022-10', '2024-12', '2025-01']"
all above all,48,82,2022-10,['2022-10']
union members,47,83,2018-06,"['2018-06', '2020-12', '2021-05', '2021-06', '2021-08', '2021-10', '2022-01', '2022-02', '2022-06', '2022-10', '2022-12', '2023-01', '2023-02', '2023-03', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-12', '2024-01', '2024-05', '2024-09', '2024-10', '2024-11', '2025-02', '2025-03', '2025-04']"
activists,46,84,2021-03,"['2021-03', '2021-04', '2021-05', '2021-06', '2021-07', '2021-09', '2021-10', '2021-11', '2022-02', '2022-05', '2022-07', '2022-09', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-08', '2023-09', '2024-01', '2024-02', '2024-03', '2024-04', '2024-08', '2025-01']"
reignite freedom,46,85,2023-05,['2023-05']
earth intelligence network,45,86,2021-06,"['2021-06', '2021-07', '2021-08']"
we the people against communism,45,87,2021-08,"['2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-09', '2022-11', '2023-01', '2023-02', '2023-07']"
researchers,44,88,2023-05,"['2023-05', '2025-02', '2025-04']"
repairers of the breach,43,89,2022-04,"['2022-04', '2022-05', '2022-06', '2022-10', '2024-03', '2024-06']"
doctors,43,90,2021-04,"['2021-04', '2021-05', '2021-06', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2022-07', '2022-09', '2022-10', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-10', '2023-11', '2024-01', '2024-02', '2024-03', '2024-04', '2024-06', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04']"
party for socialism and liberation,42,91,2017-06,"['2017-06', '2020-06', '2021-01', '2021-05', '2021-07', '2021-08', '2021-11', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2024-05', '2025-01', '2025-02', '2025-03', '2025-04']"
advocates,41,92,2019-05,"['2019-05', '2020-09', '2021-08', '2021-10', '2021-11', '2021-12', '2022-01', '2022-03', '2022-09', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-09', '2023-11', '2024-01', '2024-03']"
new york freedom rally,40,93,2021-09,"['2021-09', '2021-10', '2021-11', '2021-12', '2022-01', '2022-02', '2022-04', '2022-05', '2022-06', '2022-07', '2022-10', '2022-11', '2023-02', '2023-09', '2023-11']"
candidates for office,40,94,2021-06,"['2021-06', '2021-09', '2021-10', '2021-11', '2022-02', '2022-05', '2022-06', '2022-07', '2022-10', '2023-04', '2023-09', '2025-02']"
tea party patriots action,40,95,2021-08,['2021-08']
physicians committee for responsible medicine,40,96,2023-03,"['2023-03', '2023-08', '2023-09', '2023-10', '2023-12', '2024-09']"
50501,40,97,2025-03,"['2025-03', '2025-04']"
kairos center,40,98,2022-04,"['2022-04', '2022-05', '2022-06', '2024-03', '2024-06']"
massachusetts says no,38,99,2022-06,"['2022-06', '2023-01']"
faculty,37,100,2021-08,"['2021-08', '2021-09', '2022-03', '2022-04', '2022-05', '2022-10', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-07', '2023-10', '2024-02', '2024-05', '2024-09', '2024-10', '2025-01', '2025-02', '2025-03', '2025-04']"
answer coalition,37,101,2020-01,"['2020-01', '2022-01', '2022-02', '2023-04', '2023-07', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-05', '2024-06', '2024-07', '2024-10', '2024-11', '2025-01']"
cwa local 1168,36,102,2021-10,"['2021-10', '2021-11', '2022-08']"
family,36,103,2019-11,"['2019-11', '2021-04', '2021-05', '2021-06', '2021-08', '2021-09', '2021-11', '2021-12', '2022-03', '2022-04', '2022-05', '2022-07', '2022-08', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-08', '2023-11', '2023-12', '2024-01', '2024-03', '2024-04', '2024-08', '2024-12', '2025-01']"
america's healthcare workers for medical freedom,36,104,2021-08,"['2021-08', '2021-09', '2021-10', '2021-11']"
32bj seiu,35,105,2020-07,"['2020-07', '2021-01', '2021-08', '2021-12', '2022-03', '2022-05', '2022-09', '2023-02', '2023-03', '2023-05', '2023-06', '2025-02']"
1199 seiu,34,106,2020-05,"['2020-05', '2020-11', '2021-02', '2021-03', '2021-05', '2021-07', '2021-09', '2021-11', '2021-12', '2023-01', '2023-03', '2023-04', '2023-06', '2023-08', '2024-02', '2024-03', '2024-05', '2024-06', '2024-10', '2025-01']"
seiu district 1199,34,107,2020-12,"['2020-12', '2021-09', '2021-11', '2021-12', '2023-08', '2023-12']"
constitutional sheriff & peace officer's association,34,108,2021-06,"['2021-06', '2021-07', '2021-08']"
seiu united healthcare workers west,34,109,2021-03,"['2021-03', '2021-04', '2021-10', '2022-12']"
people's rights,33,110,2020-12,"['2020-12', '2021-01', '2021-05', '2021-07', '2021-08', '2021-09', '2021-10', '2021-11', '2022-01', '2022-02', '2022-03', '2023-05']"
vocal-ny,33,111,2021-03,"['2021-03', '2021-09', '2021-10', '2022-03', '2022-04', '2022-05', '2022-06', '2022-08', '2022-09', '2022-12', '2023-02', '2023-03', '2023-04', '2023-05', '2023-09', '2023-12', '2024-03', '2024-09']"
new york communities for change,32,112,2021-04,"['2021-04', '2021-06', '2021-10', '2021-12', '2022-01', '2022-03', '2022-05', '2022-09', '2022-12', '2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-08', '2023-09', '2024-03', '2024-05', '2024-09', '2025-04']"
machinists,32,113,2022-02,"['2022-02', '2022-03']"
international association of machinists and aerospace local 388 and local 1191,32,114,2022-02,"['2022-02', '2022-03']"
mendocino patriots,32,115,2021-10,"['2021-10', '2021-11', '2021-12', '2022-02', '2022-03']"
techs,31,116,2022-05,"['2022-05', '2022-06']"
students for justice in palestine,31,117,2023-10,"['2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2025-04']"
district council 1 iuoe-afl-cio jneso,31,118,2022-05,"['2022-05', '2022-06']"
housing works,30,119,2017-06,"['2017-06', '2017-07', '2021-03', '2022-03', '2022-04', '2022-06', '2022-08', '2022-12', '2023-05', '2023-06', '2023-09', '2023-12', '2024-04', '2024-09', '2024-12', '2025-02', '2025-03']"
service and maintenance unit workers,30,120,2021-11,"['2021-11', '2021-12']"
sunrise movement,30,121,2020-10,"['2020-10', '2020-11', '2021-04', '2021-07', '2021-09', '2021-10', '2022-01', '2023-06', '2023-07', '2023-09', '2023-11', '2025-02']"
new mexico freedoms alliance,30,122,2021-03,"['2021-03', '2021-06', '2021-07', '2021-09', '2021-11']"
american muslims for palestine,29,123,2023-10,"['2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-07', '2024-08', '2024-10', '2025-01']"
worldwide demonstration - new england,29,124,2021-08,"['2021-08', '2021-09', '2021-10']"
teamsters local 20,28,125,2020-11,"['2020-11', '2021-10', '2021-11']"
women,28,126,2017-09,"['2017-09', '2021-08', '2021-09', '2022-01', '2022-03', '2022-05', '2022-06', '2022-07', '2023-01', '2023-09', '2024-01', '2024-03', '2024-08', '2025-03']"
u.s. palestinian community network,28,127,2023-10,"['2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-05', '2024-06', '2024-07', '2024-08', '2024-10', '2024-12', '2025-01']"
illinois nurses association,28,128,2017-08,"['2017-08', '2020-09', '2022-10', '2023-01', '2023-06', '2023-07', '2023-12']"
connecticut palestine alliance,28,129,2024-11,"['2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04']"
dsa,27,130,2022-05,"['2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2023-03', '2023-05', '2023-10', '2023-12', '2024-03', '2024-04', '2024-05', '2024-06', '2024-08', '2024-10', '2025-01']"
nyc for abortion rights,27,131,2021-10,"['2021-10', '2021-12', '2022-01', '2022-02', '2022-03', '2022-04', '2022-05', '2022-06', '2022-07', '2022-08', '2022-09', '2022-10', '2022-12', '2023-01', '2023-03', '2023-04', '2023-06', '2023-07', '2023-08', '2024-01', '2024-03', '2024-06', '2024-08', '2024-09']"
freedom angels,26,132,2020-11,"['2020-11', '2021-08', '2021-09', '2021-10', '2021-11', '2021-12', '2022-08', '2023-02', '2023-09', '2023-10']"
